,uuid,creditCode,regNo,orgCodes,entStatus,regCap,frName,industryPhyName,esDate,opFrom,opTo,regOrgProvince,regOrg,entType,entName,dom,opScope,approvedTime,phoneNumber,email,oldName,validTime,industryLargeName,industryMiddleName,county,industryType,createTime,updateTime,isDeleted,state,city,website
0,ef04726a-d834-11e9-80c9-fa163e3115c2,913702002645941215,370205228025417,264594121,在营（开业）企业,4005.000000万,丁香鹏,制造业,1994-12-13,1994-12-13,,山东省,青岛市市场监督管理局,股份有限公司(非上市、自然人投资或控股),青岛国林环保科技股份有限公司,青岛市市北区瑞昌路168号,生产：消毒器械（臭氧发生器）（消毒产品生产企业卫生许可证有效期限以许可证为准）。臭氧技术产品研究、开发、生产；工业管道GC2安装；高低压成套电气设备的制造、销售；D1、D2类低、中压容器设计、制造；工业气体分离与净化技术研发、制造、销售、技术服务；机电一体化电子产品开发、生产；电子功能陶瓷产品研究、开发、生产、销售；晶体乙醛酸一水合物的生产、销售；环保工程设计、安装、施工；货物及技术进出口；批发、零售：金属材料（不含稀贵金属）、五金交电、化工产品（不含危险品）、环保设备（公司住所仅限办公）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2019-04-08,0532-84992167,office@china-guolin.com,青岛国林实业股份有限公司,长期,专用设备制造业,医疗仪器设备及器械制造,市北区,大健康,2019-09-16 11:49:07,2019-09-16 11:49:07,0,1,青岛市,http://www.china-guolin.com
1,92a1a58b-d83f-11e9-80c9-fa163e3115c2,9111000079598548XH,110113001479889,79598548X,开业,40000.000000万人民币,申东日,批发和零售业,2006-11-09,2006-11-09,,北京市,北京市工商行政管理局顺义分局,股份有限公司(上市、自然人投资或控股),朗姿股份有限公司,北京市顺义区马坡镇白马路63号,生产服装；销售服装、日用品、鞋帽箱包、五金、婴幼儿用品、化妆品、玩具、皮革制品；货物进出口；技术进出口；代理进出口；承办展览展示活动；仓储服务；技术服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,2017-06-30,53518800,无,"北京朗姿服装实业有限公司,北京申诚信和服装有限公司",长期,批发业,纺织、服装及家庭用品批发,顺义区,大健康,2019-09-16 13:05:17,2019-09-16 13:05:17,0,1,北京市,http://langzi.tmall.com
2,6accc9ba-4bc2-11e9-a8b1-fa163e5275a2,91350200612261252T,350200200013196,612261252,存续（在营、开业、在册）,15054.000000万人民币,林瑞梅,制造业,1994-12-07,1994-12-07,9999-12-31,福建省,厦门市市场监督管理局,其他股份有限公司(上市),厦门光莆电子股份有限公司,厦门市思明区岭兜西路608号,机器人及智能设备的设计、研发、制造及销售（不含须经许可审批的项目）；电光源制造；照明灯具制造；灯用电器附件及其他照明器具制造；半导体分立器件制造；光电子器件及其他电子器件制造；软件开发；信息系统集成服务；其他未列明信息技术服务业（不含需经许可审批的项目）；机械治疗及病房护理设备制造；其他电子设备制造；互联网销售；第一类医疗器械批发；第二类医疗器械批发；第三类医疗器械批发；建筑装饰业；自有房地产经营活动；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外。,2018-09-10,6022013,无,,长期,计算机、通信和其他电子设备制造业,电子元件制造,思明区,大健康,2019-03-21 18:16:40,2019-03-21 18:16:40,0,0,厦门市,https://mall.jd.com/index-1000072606.html
3,9306fd65-d83f-11e9-80c9-fa163e3115c2,91430000745928604G,430000000001637,745928604,存续（在营、开业、在册）,309839.419200万人民币,陈邦,卫生和社会工作,2003-01-24,2003-01-24,,湖南省,湖南省市场监督管理局,股份有限公司(上市、自然人投资或控股),爱尔眼科医院集团股份有限公司,长沙市芙蓉区长冲路99号隆平高科技园省科研成果转化中心一楼,眼科医院的投资和医院经营管理服务（不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务）；眼科医疗技术的研究，远程医疗软件的研发、生产、销售；眼科、内科、麻醉科、检验科、影视像科、验光配镜。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2019-07-22,0731-85179288,无,,长期,卫生,医院,芙蓉区,大健康,2019-09-16 13:05:17,2019-09-16 13:05:17,0,1,长沙市,aierchina.com
4,9356eff3-d83f-11e9-80c9-fa163e3115c2,91441900708014002M,441900000178999,708014002,在营（开业）,54585.426400,王蔚,其他农业,1998-08-06,1998-08-06,长期,广东省,广东省东莞市工商行政管理局,股份有限公司(上市、自然人投资或控股),盈康生命科技股份有限公司,东莞市塘厦镇蛟坪大道83号,医疗器械的研发和经营；医疗行业投资；对外投资；股权投资；货物及技术进出口；为成员企业及关联企业提供经营决策和企业管理咨询、财务管理咨询、资本经营管理和咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,2019-08-07,7722382,,,长期,,,,大健康,2019-09-16 13:05:18,2019-09-16 13:05:18,0,1,东莞市,
5,93a5e74e-d83f-11e9-80c9-fa163e3115c2,911100007000084768,110000410140103,700008476,开业,178165.292100万人民币,蒲忠杰,制造业,1999-06-11,1999-06-11,2057-06-10,北京市,北京市工商行政管理局昌平分局,股份有限公司(中外合资、上市),乐普（北京）医疗器械股份有限公司,北京市昌平区超前路37号,生产、销售医疗器械及其配件；医疗器械及其配件的技术开发；提供自产产品的技术咨询服务；上述产品的进出口；技术进出口；佣金代理（不含拍卖、涉及配额许可证管理、专项规定管理的商品按国家有关规定办理）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,2019-05-15,80120666,office_lepu@lepumedical.com,,2057-06-10,专用设备制造业,医疗仪器设备及器械制造,昌平区,大健康,2019-09-16 13:05:18,2019-09-16 13:05:18,0,1,北京市,http://www.lepumedical.com
6,93f42530-d83f-11e9-80c9-fa163e3115c2,913201006089812733,320100400012542,608981273,存续（在营、开业、在册）,10000.000000万人民币,隆晓辉,制造业,2000-05-10,2000-05-10,,江苏省,南京市市场监督管理局,股份有限公司(中外合资、未上市),南京微创医学科技股份有限公司,南京高新开发区高科三路10号,医疗器械的研发、生产与销售（凭许可证所列事项生产经营）；与本企业业务相关的产品及技术的进出口业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；消毒灭菌服务；企业管理咨询服务；自有房屋及设备租赁；网上销售医疗器械。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2019-03-20,025-58646365,mjj@micro-tech.com.cn,南京微创医学科技有限公司,长期,专用设备制造业,医疗仪器设备及器械制造,,大健康,2019-09-16 13:05:19,2019-09-16 13:05:19,0,1,南京市,www.micro-tech.com.cn
7,9468ad54-d83f-11e9-80c9-fa163e3115c2,913502007617290664,350205200008366,761729066,存续（在营、开业、在册）,40193.000000万人民币,林志雄,制造业,2004-08-12,2004-08-12,,福建省,厦门市市场监督管理局,股份有限公司(台港澳与境内合资、上市),大博医疗科技股份有限公司,厦门市海沧区山边洪东路18号,研发生产二类6826物理治疗设备、二类6865医用缝合材料和三类6810矫形外科（骨科）手术器械；二类6810矫形外科（骨科）手术器械、三类6846植入材料；一类医疗器械的研发、生产；骨科植入材料模具的制造；批发和进出口：三类、二类：注射穿刺器械、医用电子仪器设备、医用光学器具仪器及内窥镜设备、医用超声仪器及有关设备、物理治疗及康复设备、临床检验分析仪器（体外诊断试剂除外）、植入材料和人工器官、手术室急救室诊疗室设备及器具、口腔科材料、医用卫生材料及敷料、医用缝合材料及粘合剂；三类、二类：医用高分子材料及制品；二类：手术器械、普通诊察器械、中医器械、口腔科设备及器具、病房护理设备及器具、消毒和灭菌设备及器具。,2019-03-01,6087672,无,,长期,专用设备制造业,医疗仪器设备及器械制造,海沧区,大健康,2019-09-16 13:05:20,2019-09-16 13:05:20,0,1,厦门市,http://www.double-medical.com/
8,94b5c121-d83f-11e9-80c9-fa163e3115c2,913101150512565326,,051256532,存续（在营、开业、在册）,5397.814700万人民币,彭博,批发和零售业,2012-08-17,2012-08-17,,上海市,上海市市场监督管理局,股份有限公司(台港澳与境内合资、未上市),上海微创心脉医疗科技股份有限公司,上海市浦东新区康新公路3399弄1号,生产Ⅲ类6846支架、Ⅲ类6877血管内导管，销售自产产品；研发主动脉、外周血管介入治疗医疗器械，转让自研技术，并提供相关技术服务、技术咨询；从事医疗器械（Ⅰ类、Ⅱ类、Ⅲ类）的批发、进出口、佣金代理（拍卖除外），并提供相关配套服务（不涉及国营贸易管理，涉及配额、许可证管理商品的，按国家有关规定办理申请）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,2012-08-17,021-38954600,xhzhu@microport.com,微创心脉医疗科技（上海）有限公司,长期,批发业,医药及医疗器材批发,浦东新区,大健康,2019-09-16 13:05:20,2019-09-16 13:05:20,0,1,上海市,www.endovastec.com
9,950d1022-d83f-11e9-80c9-fa163e3115c2,91440101759431420M,440126400010558,759431420,在营（开业）企业,20000.000000万人民币,韩广源,制造业,2004-04-30,2004-04-30,,广东省,广州市市场监督管理局,股份有限公司(台港澳与境内合资、上市),广州维力医疗器械股份有限公司,广州市番禺区化龙镇金湖工业城C区4号,医疗卫生用塑料制品制造;非许可类医疗器械经营（即不需申请《医疗器械经营企业许可证》即可经营的医疗器械”，包括第一类医疗器械和国家规定不需申请《医疗器械经营企业许可证》即可经营的第二类医疗器械）;医疗用品及器材零售（不含药品及医疗器械）;假肢、人工器官及植（介）入器械制造;医疗诊断、监护及治疗设备制造;机械治疗及病房护理设备制造;医疗、外科及兽医用器械制造;口腔科用设备及器具制造;医疗实验室设备和器具制造;外科、牙科等医疗专用设备及器械制造;医用消毒设备和器具制造;医疗诊断、监护及治疗设备批发;许可类医疗器械经营（即申请《医疗器械经营企业许可证》才可经营的医疗器械”，包括第三类医疗器械和需申请《医疗器械经营企业许可证》方可经营的第二类医疗器械）;医疗诊断、监护及治疗设备零售;,2018-07-26,020-84758878,chenmeiling@welllead.com.cn,,长期,专用设备制造业,医疗仪器设备及器械制造,番禺区,大健康,2019-09-16 13:05:21,2019-09-16 13:05:21,0,1,广州市,www.welllead.com.cn
